project_id,title,exec_rating
71,Scott Road Eastern Extension Stg 1,5
72,Mullewa Recreation Centre,6
73,Intersection Upgrade - Blencowe Road & Utakarra  Road,9
74,Mullewa Sports Club,7
75,Verita Road (Roundabout Ackland Rd) - Stage 4,8
76,Pedestrian Refuge Upgrade - Stillwater Ave,7
77,Cathedral Avenue-Hermitage Street Intersection Upgrade ,6
78,Verita Road (Roundabout Columbus) - Stage 5,7
79,Pedestrian Refuge New - Fortyn Crt ,8
80,Intersection Upgrade - Chapman Valley Road & Sutcliffe Rd,9
81,City Wetlands Demonstration Site,7
82,Parking Station No 1 - Foreshore Drive,8
83,New CGG Works Depot,5
84,Verita Road (Eastern Carriageway) - Stage 3,5
85,GRAG Redevelopment - Stage 5,8
86,Tomato Growers Shed and Interpretive Display,7
87,Mullewa Bowling Club Shade,8
88,Intersection Upgrade - Durlacher St & Shenton St,9
89,Intersection Upgrade -  Maitland St & Carson Tce,8
90,Intersection Upgrade Chapman Valley Road & Webber Road,7
91,Upgrade Carpark No. 6,7
92,Railway Walk/Drive Trail  Geraldton to Ajana,7
93,Flores Road Realignment,9
94,Flat Rocks Carpark,7
95,QPT Redevelopment - Stage 3,8
96,"Public Halls, Mullewa",7
97,Mullewa Town Entrance,6
98,Allendale School - Marsden Street Traffic Management Upgrade,7
99,Fencing of Paringa Park,8
100,Chapman Road Streetscape (Durlacher St - Forrest St) - Stage 2,10
101,Road Upgrades - Annual Program,10
102,Place Road - Bridge over Chapman River,6
103,"Establishing a ""Remida"" type service in
 the City of Greater Geraldton",7
104,GRAG Redevelopment - Stage 3,7
105,Utakarra Road Realignment,8
106,Street Signs Annual Program,8
107,Place Road - Duplication (Anderson St - Chapman River),5
108,Construction of New 2700 metre Runway,5
109,New In-venue building,6
110,Chapman Valley Road - Waggrakine Bypass,5
111,Central Greenough Art and Event Infrastructure,9
112,"Wonthella Oval - Club House
 Minor Refurbishment - Stage 2",5
113,"On street Parking, Rangeway",8
114,Plymouth Road Parkland Connection,11
115,School vehicle and security garage,6
116,GRAG Redevelopment - Stage 6,8
117,On-Road Bicycle Lane Extension - Highbury Street,6
118,QPT Redevelopment - Stage 6,7
119,Intersection Upgrade - Chapman Road & Dean Street,9
120,Architectural Lighting,8
121,Masonic Lodge Mullewa,8
122,Sunset Beach - Triton Place,7
123,Derna Parade-Ocean Queen - Local Area Traffic Management (LATM),8
124,On-Road Bicycle Lanes New - Jenark Road,6
125,On-Road Bicycle Lanes New - Cathedral Avenue,6
126,Intersection Upgrade - Chapman Road & Mark Street,9
127,Glenview Street - Local Area Traffic Management (LATM),9
128,Verita Road (Extension Dual Carriageway Doncon - Brand Highway) - Stage 7,5
129,On-Road Bicycle Lanes New - Chapman Road,6
130,Columbus Boulevard (Scott Road to Gould Road) ,5
131,On-Road Bicycle Lanes New - Marine Terrace,6
132,Greenough Museum,9
133,Greenough Museum,8
134,Gregory St Sump (A10987),11
135,Intersection Upgrades - Annual Program,10
136,Chapman Road Streetscape (Cathedral Ave - Durlacher St) - Stage 1,10
137,Dog Agility off lead area Park,8
138,Waggrakine Bush Fire Brigade Station,6
139,Boat Ramp at Drummond Cove,7
140,Foot/cycle bridge across the Chapman River Mouth,7
141,Woodman Park Upgrade,8
142,QEII Expansion,7
143,Hale Street Connection to Utakarra Road,6
144,Cape Burney Bush Fire Brigade,5
145,Shared Coastal Path from Bluff Point to Drummond Cove,8
146,Extension of Library building,10
147,Shade sails,7
148,Walkaway Railway Station Precinct,9
149,GRAG Redevelopment - Stage 2,8
150,Verita Road (Street Lighting installation from Highbury - Doncon) - Stage 6,8
151,Sunset Beach Community Group,9
152,Intersection Upgrade - Chapman Road & Mabel Street  ,8
153,Civic Centre Expansion,6
154,Phillips Road - Causeway,6
155,Emergency Pound Infrastructure,6
156,Drainage Upgrades - Annual Program,10
157,Drummond Cove Road - Local Area Traffic Management (LATM),8
158,Natural Vegetation Areas and Coastal Mapping Tools,6
