project_id,title,exec_rating,group_num
1,QPT Redevelopment - Stage 2,16,7
2,Tennindewa Bush Fire Brigade,12,6
3,Street Signs Annual Program,13,5
4,"Extension Runway 03/21, Taxiway Alpha and Apron including Runway Lighting",16,4
5,Intersection Upgrade - Maitland St & Durlacher St (Service Relocations & Civil Works),13,5
6,Mullewa Railway Precinct - Buildings,14,2
7,Mullewa Caravan & Camping Park,11,5
8,Meru Landfill gas extraction,14,3
9,Meru - Class 3 Landfill ,12,4
10,Foreshore Drive Two-waying,15,6
11,Aquarena- Health & Fitness / User Group Club rooms ,14,7
12,Upgrade Carpark No. 5,12,4
13,Intersection Modification - Waldeck Street & Brede Street,13,7
14,"McCartney Road, Greenough River causeway at Maleys Bridge",16,1
15,Upgrade to Mullewa In-venue Family Day care Service,14,1
16,Swan Drive,12,2
17,Allendale School - Marsden Street Parking Upgrade,11,1
18,Community Nursery,14,5
19,Rural Road Upgrades - Annual Program,13,6
20,Chapman River - Estuary Suspension Bridge,14,6
21,East Chapman/Eradu Bush Fire Brigade,12,2
22,Candlebark/Sunnybanks Sump,14,2
23,RV Facilities Upgrades - Ellendale Pool,18,6
24,Queens Park Convention Centre,12,3
25,Youth Hub,11,3
26,Intersection Upgrade - Cathedral Avenue & Chapman Road,14,3
27,Mobility impaired access upgrades,14,4
28,Conversion of QEII patio area into an undercover area ,13,5
29,Aboriginal Trail / Aboriginal Heritage,15,4
30,Bus Shelters - Annual Program,11,7
31,Intersection Upgrade - Place Road & Hibbertia Street,12,4
32,Renewable and Energy Efficiency Program - Annual Program,17,7
33,Greys Beach Coastal Protection,16,1
34,Aboriginal Cultural  Centre Mullewa,12,5
35,Intersection Upgrade - Rifle Range Road & Utakarra Road,14,5
36,Purpose built archival storage facility ,14,6
37,Street Lighting - Annual Program,18,1
38,Eastward Road - Abraham Street Intersection Upgrade,13,6
39,"Stormwater drainage South Pipe, Mahomets",11,3
40,Mullewa Railway Precinct - Water Tank,16,7
41,Wonthella Skate Park - lighting (Construction),13,6
42,Intersection Upgrade - Cathedral Avenue & Sanford St (Service Relocation & Civil Works),13,7
43,Mullewa District Office,12,7
44,Natural Areas - Annual Program,16,2
45,Utakarra Road Downgrade,12,1
46,Pedestrian Refuge New - Hall Road ,12,7
47,Town Beach Boat Ramp - Finger Jetty Upgrade,14,7
48,Cathedral Avenue-Hermitage Street Intersection Upgrade ,13,2
49,Outdoor LED Screen,11,1
50,Chapman River CARE Project - Annual Program,14,3
51,West End Community Art Facility,11,1
52,Multicultural Resource & Activity Centre,12,2
53,Pathways - Annual Program,14,5
54,Meru - Class 1 Landfill,16,2
55,On Street Parking Machines - Annual Program,12,4
56,Beresford Foreshore Coastal Protection,20,3
57,Mullewa Youth Centre,17,1
58,Wonthella Greenway,13,2
59,Walkaway Railway Station Precinct,14,3
60,Meru - Community Reuse & Recycling Centre (CRRC) ,15,4
61,Pedestrian Refuge New - Adelaide Street ,12,6
62,Aboriginal Cultural Centre Geraldton,12,4
63,"Stormwater Drainage North Pipe, Mahomets",15,4
64,Upgrade Carpark No. 4,11,5
65,Installation of Satellite Based Aircraft Transponders,15,2
66,CCTV - Annual Program,12,6
67,Mullewa Staff Housing - Annual Program,18,1
68,Intersection Upgrade - Eastern Road & Johnston Street ,13,3
69,Pindar/Tardan Bush Fire Brigade,12,3
70,WWII Heritage Trail/Interpretive Signage,11,5
